,ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value,Flag Codes,Flags
269355,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y35,35 anni,4,vedova/o,2019,2019,157,,
269360,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y35,35 anni,99,totale,2019,2019,350654,,
279792,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y36,36 anni,1,nubile/celibe,2019,2019,192608,,
279797,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y36,36 anni,2,coniugata/o,2019,2019,164801,,
279802,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y36,36 anni,3,divorziata/o,2019,2019,3998,,
279807,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y36,36 anni,4,vedova/o,2019,2019,180,,
279812,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y36,36 anni,99,totale,2019,2019,361816,,
990695,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y36,36 anni,17,già in unione civile (per scioglimento unione),2019,2019,1,,
290244,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y37,37 anni,2,coniugata/o,2019,2019,176423,,
290249,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y37,37 anni,3,divorziata/o,2019,2019,4759,,
290254,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y37,37 anni,4,vedova/o,2019,2019,227,,
290259,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y37,37 anni,99,totale,2019,2019,363353,,
292832,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y37,37 anni,1,nubile/celibe,2019,2019,181684,,
974740,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y37,37 anni,15,unito/a civilmente ,2019,2019,257,,
304586,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y38,38 anni,1,nubile/celibe,2019,2019,175424,,
304591,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y38,38 anni,2,coniugata/o,2019,2019,192259,,
304596,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y38,38 anni,3,divorziata/o,2019,2019,5736,,
304601,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y38,38 anni,4,vedova/o,2019,2019,291,,
304606,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y38,38 anni,99,totale,2019,2019,373968,,
